Symbol,Datetime,Open,High,Low,Close,Volume
AMD,2024-01-02 04:00:00,147.78,148.29,147.62,147.63,2978.0
AMD,2024-01-02 04:01:00,147.45,147.45,147.45,147.45,997.0
AMD,2024-01-02 04:03:00,147.7,147.72,147.7,147.72,2211.0
AMD,2024-01-02 04:04:00,147.59,147.59,147.51,147.51,953.0
AMD,2024-01-02 04:06:00,147.56,147.56,147.56,147.56,264.0
AMD,2024-01-02 04:08:00,147.6,147.6,147.6,147.6,140.0
AMD,2024-01-02 04:09:00,147.8,147.8,147.8,147.8,214.0
AMD,2024-01-02 04:11:00,147.63,147.69,147.5,147.69,3533.0
AMD,2024-01-02 04:12:00,147.53,147.53,147.43,147.43,2182.0
AMD,2024-01-02 04:13:00,147.43,147.43,147.43,147.43,941.0
AMD,2024-01-02 04:14:00,147.63,147.63,147.63,147.63,1033.0
AMD,2024-01-02 04:16:00,147.3,147.3,147.3,147.3,965.0
AMD,2024-01-02 04:21:00,147.35,147.35,147.35,147.35,2629.0
AMD,2024-01-02 04:24:00,147.3,147.3,147.3,147.3,131.0
AMD,2024-01-02 04:26:00,147.26,147.26,147.26,147.26,426.0
AMD,2024-01-02 04:36:00,147.29,147.29,147.29,147.29,245.0
AMD,2024-01-02 04:37:00,147.28,147.28,147.27,147.27,701.0
AMD,2024-01-02 04:38:00,147.21,147.21,147.21,147.21,192.0
AMD,2024-01-02 04:39:00,147.21,147.21,147.21,147.21,644.0
AMD,2024-01-02 04:41:00,147.01,147.01,147.0,147.0,1615.0
AMD,2024-01-02 04:42:00,146.9,146.9,146.85,146.85,1227.0
AMD,2024-01-02 04:44:00,147.0,147.0,147.0,147.0,1375.0
AMD,2024-01-02 04:45:00,147.02,147.02,147.0,147.0,348.0
AMD,2024-01-02 04:46:00,146.98,146.98,146.98,146.98,234.0
AMD,2024-01-02 04:48:00,147.0,147.06,147.0,147.06,2940.0
AMD,2024-01-02 04:49:00,147.0,147.0,146.93,146.93,503.0
AMD,2024-01-02 04:50:00,146.83,146.83,146.83,146.83,248.0
AMD,2024-01-02 04:55:00,146.8,146.8,146.8,146.8,2705.0
AMD,2024-01-02 05:03:00,146.82,146.82,146.82,146.82,512.0
AMD,2024-01-02 05:08:00,146.86,146.86,146.83,146.83,799.0
AMD,2024-01-02 05:12:00,146.74,146.74,146.73,146.74,828.0
AMD,2024-01-02 05:15:00,146.6,146.6,146.6,146.6,1017.0
AMD,2024-01-02 05:22:00,146.7,146.7,146.7,146.7,438.0
AMD,2024-01-02 05:27:00,146.68,146.68,146.68,146.68,295.0
AMD,2024-01-02 05:28:00,146.66,146.66,146.66,146.66,206.0
AMD,2024-01-02 05:35:00,146.68,146.68,146.68,146.68,399.0
AMD,2024-01-02 05:39:00,146.79,146.8,146.79,146.8,1664.0
AMD,2024-01-02 05:40:00,146.79,146.8,146.79,146.8,2567.0
AMD,2024-01-02 05:42:00,146.83,146.83,146.83,146.83,441.0
AMD,2024-01-02 05:58:00,146.65,146.65,146.65,146.65,402.0
AMD,2024-01-02 05:59:00,146.64,146.64,146.64,146.64,778.0
AMD,2024-01-02 06:00:00,146.66,146.66,146.66,146.66,514.0
AMD,2024-01-02 06:01:00,146.62,146.62,146.62,146.62,1321.0
AMD,2024-01-02 06:05:00,146.62,146.63,146.62,146.63,1328.0
AMD,2024-01-02 06:06:00,146.62,146.62,146.62,146.62,2354.0
AMD,2024-01-02 06:07:00,146.64,146.64,146.64,146.64,551.0
AMD,2024-01-02 06:08:00,146.56,146.56,146.5,146.5,2506.0
AMD,2024-01-02 06:12:00,146.36,146.36,146.36,146.36,839.0
